Consumo Total no período (Wh): 372.7250000000
plaqueta;numero de série;lat;long;consumo acumulado (Wh);data inicial;data final
15232;2015451053600;-23,592;-46,921;0,000;14/12/2022;21/12/2022
15233;2015451053565;-23,592;-46,921;0,000;14/12/2022;21/12/2022
15234;2015451053559;-23,592;-46,920;0,000;14/12/2022;21/12/2022
15235;2015451053662;-23,592;-46,920;0,000;14/12/2022;21/12/2022
15236;2015451053670;-23,591;-46,920;0,000;14/12/2022;21/12/2022
15237;2015451053578;-23,591;-46,920;0,000;14/12/2022;21/12/2022
15238;2015451053566;-23,591;-46,920;0,000;14/12/2022;21/12/2022
15239;2015451053656;-23,590;-46,921;0,000;14/12/2022;21/12/2022
15240;2015451053548;-23,591;-46,921;0,000;14/12/2022;21/12/2022
15241;2015451053604;-23,590;-46,921;0,000;14/12/2022;21/12/2022
15242;2015451053673;-23,590;-46,921;0,000;14/12/2022;21/12/2022
15243;2015451053571;-23,589;-46,921;0,000;14/12/2022;21/12/2022
15244 B;2015451053611;-23,589;-46,921;0,000;14/12/2022;21/12/2022
15253;2015451053671;-23,599;-46,919;0,000;14/12/2022;21/12/2022
15304;2015451053616;-23,603;-46,918;0,000;14/12/2022;21/12/2022
15305;2015451053558;-23,603;-46,918;0,000;14/12/2022;21/12/2022
15306;2015451053501;-23,602;-46,918;0,000;14/12/2022;21/12/2022
15307;2015451053584;-23,602;-46,918;0,000;14/12/2022;21/12/2022
15308;2015451053603;-23,602;-46,918;0,000;14/12/2022;21/12/2022
15309;2015451053573;-23,601;-46,918;0,000;14/12/2022;21/12/2022
15311;2015451053450;-23,601;-46,918;0,000;14/12/2022;21/12/2022
15312;2015451053455;-23,601;-46,918;0,000;14/12/2022;21/12/2022
15313;2015451053594;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15314;2015451053454;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15315;2015451053431;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15316;2015451053476;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15317;2015451053638;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15318;2015451053439;-23,601;-46,918;0,000;14/12/2022;21/12/2022
15319;2015451053464;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15320;2015451053614;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15321;2015451053628;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15322;2015451053658;-23,599;-46,918;0,000;14/12/2022;21/12/2022
15323;2015451053672;-23,599;-46,919;0,000;14/12/2022;21/12/2022
15324;2036456068111;-23,599;-46,919;0,000;14/12/2022;21/12/2022
15325;2036456068118;-23,599;-46,919;0,000;14/12/2022;21/12/2022
15326;2036456068085;-23,600;-46,919;0,000;14/12/2022;21/12/2022
15327;2036456066828;-23,600;-46,919;0,000;14/12/2022;21/12/2022
15330;2015451053667;-23,601;-46,919;0,000;14/12/2022;21/12/2022
15336;2036456068213;-23,602;-46,919;0,000;14/12/2022;21/12/2022
15337;2036456068186;-23,602;-46,919;0,000;14/12/2022;21/12/2022
15341;2036456068194;-23,602;-46,919;0,000;14/12/2022;21/12/2022
15342;2036456068298;-23,603;-46,919;0,000;14/12/2022;21/12/2022
33731;2015451053663;-23,589;-46,921;0,000;14/12/2022;21/12/2022
14450;2036456065715;-23,595;-46,910;10,570;14/12/2022;21/12/2022
30925;2015451053521;-23,601;-46,909;27,413;14/12/2022;21/12/2022
30926;2015451052850;-23,601;-46,908;30,015;14/12/2022;21/12/2022
30927;2015451053410;-23,601;-46,908;27,162;14/12/2022;21/12/2022
30928;2015451053481;-23,601;-46,908;0,000;14/12/2022;21/12/2022
30929;2015451053540;-23,601;-46,907;25,578;14/12/2022;21/12/2022
30932;2015451053406;-23,601;-46,906;27,307;14/12/2022;21/12/2022
30934;2015451053536;-23,601;-46,906;0,000;14/12/2022;21/12/2022
30935;2015451053533;-23,601;-46,905;23,610;14/12/2022;21/12/2022
30941;2015451052889;-23,600;-46,905;0,000;14/12/2022;21/12/2022
15328;2015451053503;-23,600;-46,919;0,000;14/12/2022;21/12/2022
15329;2015451053374;-23,601;-46,919;0,000;14/12/2022;21/12/2022
15331;2036456068116;-23,601;-46,919;0,000;14/12/2022;21/12/2022
15334;2036456066853;-23,601;-46,919;0,000;14/12/2022;21/12/2022
15335;2036456066740;-23,602;-46,919;0,000;14/12/2022;21/12/2022
15338;2015451052782;-23,602;-46,920;0,000;14/12/2022;21/12/2022
15339;2015451052740;-23,602;-46,919;0,000;14/12/2022;21/12/2022
15340;2036456066780;-23,602;-46,919;0,000;14/12/2022;21/12/2022
15343;2036456068177;-23,603;-46,919;0,000;14/12/2022;21/12/2022
15344;2036456066714;-23,603;-46,919;0,000;14/12/2022;21/12/2022
15345;2036456068048;-23,603;-46,919;0,000;14/12/2022;21/12/2022
30330;2015451053505;-23,603;-46,918;0,000;14/12/2022;21/12/2022
33732;2015451053553;-23,595;-46,921;0,000;14/12/2022;21/12/2022
33734;2015451053654;-23,597;-46,921;0,000;14/12/2022;21/12/2022
33736;2036456067149;-23,601;-46,918;0,000;14/12/2022;21/12/2022
33762;2015451053648;-23,594;-46,919;0,000;14/12/2022;21/12/2022
33763;2015451052858;-23,594;-46,919;0,000;14/12/2022;21/12/2022
15206 A;2015451053355;-23,598;-46,916;0,000;14/12/2022;21/12/2022
15106A;2015451053383;-23,596;-46,914;0,000;14/12/2022;21/12/2022
15016B;2036456067201;-23,597;-46,914;0,000;14/12/2022;21/12/2022
15244 A;2015451053651;-23,589;-46,921;0,000;14/12/2022;21/12/2022
15008;2036456068240;-23,594;-46,918;0,000;14/12/2022;21/12/2022
